ID,X,Y,X2,Y2,Active
0,250.000000,-144.337567,0.000000,-288.675135,1
0,0.000000,-288.675135,-250.000000,-144.337567,1
0,-250.000000,-144.337567,-250.000000,144.337567,1
0,-250.000000,144.337567,-0.000000,288.675135,1
0,-0.000000,288.675135,250.000000,144.337567,1
0,250.000000,144.337567,250.000000,-144.337567,1
1,749.999999,-144.337568,499.999999,-288.675136,1
1,499.999999,-288.675136,249.999999,-144.337568,1
1,249.999999,-144.337568,249.999999,144.337566,1
1,249.999999,144.337566,499.999999,288.675134,1
1,499.999999,288.675134,749.999999,144.337566,1
1,749.999999,144.337566,749.999999,-144.337568,1
2,499.999999,288.675133,249.999999,144.337565,1
2,249.999999,144.337565,-0.000001,288.675133,1
2,-0.000001,288.675133,-0.000001,577.350267,1
2,-0.000001,577.350267,249.999999,721.687835,1
2,249.999999,721.687835,499.999999,577.350267,1
2,499.999999,577.350267,499.999999,288.675133,1
3,-0.000001,288.675134,-250.000001,144.337566,1
3,-250.000001,144.337566,-500.000001,288.675134,1
3,-500.000001,288.675134,-500.000001,577.350268,1
3,-500.000001,577.350268,-250.000001,721.687836,1
3,-250.000001,721.687836,-0.000001,577.350268,1
3,-0.000001,577.350268,-0.000001,288.675134,1
4,-249.999999,-144.337566,-499.999999,-288.675134,1
4,-499.999999,-288.675134,-749.999999,-144.337566,1
4,-749.999999,-144.337566,-749.999999,144.337568,1
4,-749.999999,144.337568,-499.999999,288.675136,1
4,-499.999999,288.675136,-249.999999,144.337568,1
4,-249.999999,144.337568,-249.999999,-144.337566,1
5,0.000001,-577.350267,-249.999999,-721.687835,1
5,-249.999999,-721.687835,-499.999999,-577.350267,1
5,-499.999999,-577.350267,-499.999999,-288.675133,1
5,-499.999999,-288.675133,-249.999999,-144.337565,1
5,-249.999999,-144.337565,0.000001,-288.675133,1
5,0.000001,-288.675133,0.000001,-577.350267,1
6,500.000001,-577.350268,250.000001,-721.687836,1
6,250.000001,-721.687836,0.000001,-577.350268,1
6,0.000001,-577.350268,0.000001,-288.675134,1
6,0.000001,-288.675134,250.000001,-144.337566,1
6,250.000001,-144.337566,500.000001,-288.675134,1
6,500.000001,-288.675134,500.000001,-577.350268,1
7,1249.999999,-144.337569,999.999999,-288.675136,1
7,999.999999,-288.675136,749.999999,-144.337569,1
7,749.999999,-144.337569,749.999999,144.337565,1
7,749.999999,144.337565,999.999999,288.675133,1
7,999.999999,288.675133,1249.999999,144.337565,1
7,1249.999999,144.337565,1249.999999,-144.337569,1
8,999.999998,288.675132,749.999998,144.337564,1
8,749.999998,144.337564,499.999998,288.675132,1
8,499.999998,288.675132,499.999998,577.350266,1
8,499.999998,577.350266,749.999998,721.687834,1
8,749.999998,721.687834,999.999998,577.350266,1
8,999.999998,577.350266,999.999998,288.675132,1
9,749.999998,721.687833,499.999998,577.350265,1
9,499.999998,577.350265,249.999998,721.687833,1
9,249.999998,721.687833,249.999998,1010.362967,1
9,249.999998,1010.362967,499.999998,1154.700535,1
9,499.999998,1154.700535,749.999998,1010.362967,1
9,749.999998,1010.362967,749.999998,721.687833,1
10,249.999998,721.687834,-0.000002,577.350266,1
10,-0.000002,577.350266,-250.000002,721.687834,1
10,-250.000002,721.687834,-250.000002,1010.362968,1
10,-250.000002,1010.362968,-0.000002,1154.700536,1
10,-0.000002,1154.700536,249.999998,1010.362968,1
10,249.999998,1010.362968,249.999998,721.687834,1
11,-250.000001,721.687835,-500.000001,577.350267,1
11,-500.000001,577.350267,-750.000001,721.687835,1
11,-750.000001,721.687835,-750.000001,1010.362969,1
11,-750.000001,1010.362969,-500.000001,1154.700536,1
11,-500.000001,1154.700536,-250.000001,1010.362969,1
11,-250.000001,1010.362969,-250.000001,721.687835,1
12,-500.000000,288.675135,-750.000000,144.337567,1
12,-750.000000,144.337567,-1000.000000,288.675135,1
12,-1000.000000,288.675135,-1000.000000,577.350269,1
12,-1000.000000,577.350269,-750.000000,721.687836,1
12,-750.000000,721.687836,-500.000000,577.350269,1
12,-500.000000,577.350269,-500.000000,288.675135,1
13,-749.999999,-144.337565,-999.999999,-288.675133,1
13,-999.999999,-288.675133,-1249.999999,-144.337565,1
13,-1249.999999,-144.337565,-1249.999999,144.337569,1
13,-1249.999999,144.337569,-999.999999,288.675136,1
13,-999.999999,288.675136,-749.999999,144.337569,1
13,-749.999999,144.337569,-749.999999,-144.337565,1
14,-499.999998,-577.350266,-749.999998,-721.687834,1
14,-749.999998,-721.687834,-999.999998,-577.350266,1
14,-999.999998,-577.350266,-999.999998,-288.675132,1
14,-999.999998,-288.675132,-749.999998,-144.337564,1
14,-749.999998,-144.337564,-499.999998,-288.675132,1
14,-499.999998,-288.675132,-499.999998,-577.350266,1
15,-249.999998,-1010.362967,-499.999998,-1154.700535,1
15,-499.999998,-1154.700535,-749.999998,-1010.362967,1
15,-749.999998,-1010.362967,-749.999998,-721.687833,1
15,-749.999998,-721.687833,-499.999998,-577.350265,1
15,-499.999998,-577.350265,-249.999998,-721.687833,1
15,-249.999998,-721.687833,-249.999998,-1010.362967,1
16,250.000002,-1010.362968,0.000002,-1154.700536,1
16,0.000002,-1154.700536,-249.999998,-1010.362968,1
16,-249.999998,-1010.362968,-249.999998,-721.687834,1
16,-249.999998,-721.687834,0.000002,-577.350266,1
16,0.000002,-577.350266,250.000002,-721.687834,1
16,250.000002,-721.687834,250.000002,-1010.362968,1
17,750.000001,-1010.362969,500.000001,-1154.700536,1
17,500.000001,-1154.700536,250.000001,-1010.362969,1
